job_0: TOTAL: 1066, ACCEPT: 400(37.52%), REJECT: 351(32.93%), RESERVE: 315(29.55%)
job_495: TOTAL: 338, ACCEPT: 91(26.92%), REJECT: 128(37.87%), RESERVE: 119(35.21%)
job_496: TOTAL: 996, ACCEPT: 408(40.96%), REJECT: 292(29.32%), RESERVE: 296(29.72%)
job_497: TOTAL: 336, ACCEPT: 204(60.71%), REJECT: 34(10.12%), RESERVE: 98(29.17%)
job_498: TOTAL: 398, ACCEPT: 235(59.05%), REJECT: 62(15.58%), RESERVE: 101(25.38%)
job_499: TOTAL: 571, ACCEPT: 187(32.75%), REJECT: 191(33.45%), RESERVE: 193(33.80%)
job_500: TOTAL: 827, ACCEPT: 323(39.06%), REJECT: 263(31.80%), RESERVE: 241(29.14%)
job_501: TOTAL: 893, ACCEPT: 336(37.63%), REJECT: 257(28.78%), RESERVE: 300(33.59%)
job_502: TOTAL: 850, ACCEPT: 340(40.00%), REJECT: 249(29.29%), RESERVE: 261(30.71%)
job_503: TOTAL: 1257, ACCEPT: 456(36.28%), REJECT: 388(30.87%), RESERVE: 413(32.86%)
job_504: TOTAL: 88, ACCEPT: 39(44.32%), REJECT: 6(6.82%), RESERVE: 43(48.86%)
job_505: TOTAL: 332, ACCEPT: 114(34.34%), REJECT: 119(35.84%), RESERVE: 99(29.82%)
job_506: TOTAL: 1104, ACCEPT: 435(39.40%), REJECT: 333(30.16%), RESERVE: 336(30.43%)
job_507: TOTAL: 1056, ACCEPT: 385(36.46%), REJECT: 323(30.59%), RESERVE: 348(32.95%)
job_508: TOTAL: 63, ACCEPT: 20(31.75%), REJECT: 41(65.08%), RESERVE: 2(3.17%)
job_509: TOTAL: 590, ACCEPT: 212(35.93%), REJECT: 196(33.22%), RESERVE: 182(30.85%)
job_510: TOTAL: 438, ACCEPT: 202(46.12%), REJECT: 144(32.88%), RESERVE: 92(21.00%)
job_511: TOTAL: 126, ACCEPT: 39(30.95%), REJECT: 2(1.59%), RESERVE: 85(67.46%)
job_512: TOTAL: 216, ACCEPT: 67(31.02%), REJECT: 78(36.11%), RESERVE: 71(32.87%)
job_513: TOTAL: 399, ACCEPT: 147(36.84%), REJECT: 136(34.09%), RESERVE: 116(29.07%)
job_514: TOTAL: 109, ACCEPT: 84(77.06%), REJECT: 23(21.10%), RESERVE: 2(1.83%)
job_515: TOTAL: 998, ACCEPT: 434(43.49%), REJECT: 252(25.25%), RESERVE: 312(31.26%)
job_516: TOTAL: 324, ACCEPT: 181(55.86%), REJECT: 68(20.99%), RESERVE: 75(23.15%)
job_517: TOTAL: 409, ACCEPT: 138(33.74%), REJECT: 134(32.76%), RESERVE: 137(33.50%)
job_518: TOTAL: 82, ACCEPT: 65(79.27%), REJECT: 17(20.73%), RESERVE: 0(0.00%)
job_519: TOTAL: 962, ACCEPT: 376(39.09%), REJECT: 289(30.04%), RESERVE: 297(30.87%)
job_520: TOTAL: 551, ACCEPT: 202(36.66%), REJECT: 164(29.76%), RESERVE: 185(33.58%)
job_521: TOTAL: 1284, ACCEPT: 438(34.11%), REJECT: 439(34.19%), RESERVE: 407(31.70%)
job_522: TOTAL: 902, ACCEPT: 418(46.34%), REJECT: 253(28.05%), RESERVE: 231(25.61%)
job_523: TOTAL: 1041, ACCEPT: 370(35.54%), REJECT: 335(32.18%), RESERVE: 336(32.28%)
job_524: TOTAL: 1030, ACCEPT: 426(41.36%), REJECT: 301(29.22%), RESERVE: 303(29.42%)
job_525: TOTAL: 695, ACCEPT: 317(45.61%), REJECT: 171(24.60%), RESERVE: 207(29.78%)
job_526: TOTAL: 110, ACCEPT: 20(18.18%), REJECT: 45(40.91%), RESERVE: 45(40.91%)
job_527: TOTAL: 1206, ACCEPT: 468(38.81%), REJECT: 359(29.77%), RESERVE: 379(31.43%)
job_528: TOTAL: 643, ACCEPT: 263(40.90%), REJECT: 158(24.57%), RESERVE: 222(34.53%)
job_529: TOTAL: 510, ACCEPT: 190(37.25%), REJECT: 146(28.63%), RESERVE: 174(34.12%)
job_530: TOTAL: 569, ACCEPT: 237(41.65%), REJECT: 175(30.76%), RESERVE: 157(27.59%)
job_531: TOTAL: 642, ACCEPT: 251(39.10%), REJECT: 196(30.53%), RESERVE: 195(30.37%)
job_532: TOTAL: 268, ACCEPT: 150(55.97%), REJECT: 48(17.91%), RESERVE: 70(26.12%)
job_533: TOTAL: 376, ACCEPT: 108(28.72%), REJECT: 132(35.11%), RESERVE: 136(36.17%)
job_534: TOTAL: 509, ACCEPT: 240(47.15%), REJECT: 128(25.15%), RESERVE: 141(27.70%)
job_535: TOTAL: 81, ACCEPT: 27(33.33%), REJECT: 30(37.04%), RESERVE: 24(29.63%)
job_536: TOTAL: 656, ACCEPT: 228(34.76%), REJECT: 233(35.52%), RESERVE: 195(29.73%)
job_537: TOTAL: 208, ACCEPT: 60(28.85%), REJECT: 64(30.77%), RESERVE: 84(40.38%)
job_538: TOTAL: 986, ACCEPT: 406(41.18%), REJECT: 340(34.48%), RESERVE: 240(24.34%)
job_539: TOTAL: 491, ACCEPT: 195(39.71%), REJECT: 134(27.29%), RESERVE: 162(32.99%)
job_540: TOTAL: 348, ACCEPT: 141(40.52%), REJECT: 111(31.90%), RESERVE: 96(27.59%)
job_541: TOTAL: 192, ACCEPT: 63(32.81%), REJECT: 55(28.65%), RESERVE: 74(38.54%)
job_542: TOTAL: 93, ACCEPT: 30(32.26%), REJECT: 63(67.74%), RESERVE: 0(0.00%)
job_543: TOTAL: 204, ACCEPT: 138(67.65%), REJECT: 66(32.35%), RESERVE: 0(0.00%)
job_544: TOTAL: 477, ACCEPT: 175(36.69%), REJECT: 141(29.56%), RESERVE: 161(33.75%)
job_545: TOTAL: 852, ACCEPT: 478(56.10%), REJECT: 124(14.55%), RESERVE: 250(29.34%)
job_546: TOTAL: 891, ACCEPT: 364(40.85%), REJECT: 255(28.62%), RESERVE: 272(30.53%)
job_547: TOTAL: 221, ACCEPT: 54(24.43%), REJECT: 115(52.04%), RESERVE: 52(23.53%)
job_548: TOTAL: 376, ACCEPT: 200(53.19%), REJECT: 74(19.68%), RESERVE: 102(27.13%)
job_549: TOTAL: 16, ACCEPT: 3(18.75%), REJECT: 13(81.25%), RESERVE: 0(0.00%)
job_550: TOTAL: 875, ACCEPT: 371(42.40%), REJECT: 233(26.63%), RESERVE: 271(30.97%)
job_551: TOTAL: 1226, ACCEPT: 476(38.83%), REJECT: 356(29.04%), RESERVE: 394(32.14%)
job_552: TOTAL: 292, ACCEPT: 212(72.60%), REJECT: 34(11.64%), RESERVE: 46(15.75%)
job_553: TOTAL: 120, ACCEPT: 52(43.33%), REJECT: 25(20.83%), RESERVE: 43(35.83%)
job_554: TOTAL: 428, ACCEPT: 116(27.10%), REJECT: 181(42.29%), RESERVE: 131(30.61%)
job_555: TOTAL: 754, ACCEPT: 320(42.44%), REJECT: 197(26.13%), RESERVE: 237(31.43%)
job_556: TOTAL: 941, ACCEPT: 455(48.35%), REJECT: 197(20.94%), RESERVE: 289(30.71%)
job_557: TOTAL: 599, ACCEPT: 279(46.58%), REJECT: 143(23.87%), RESERVE: 177(29.55%)
job_558: TOTAL: 243, ACCEPT: 189(77.78%), REJECT: 54(22.22%), RESERVE: 0(0.00%)
job_559: TOTAL: 1072, ACCEPT: 419(39.09%), REJECT: 329(30.69%), RESERVE: 324(30.22%)
job_560: TOTAL: 568, ACCEPT: 354(62.32%), REJECT: 115(20.25%), RESERVE: 99(17.43%)
job_561: TOTAL: 5, ACCEPT: 5(100.00%), REJECT: 0(0.00%), RESERVE: 0(0.00%)
job_562: TOTAL: 825, ACCEPT: 298(36.12%), REJECT: 227(27.52%), RESERVE: 300(36.36%)
job_563: TOTAL: 822, ACCEPT: 375(45.62%), REJECT: 218(26.52%), RESERVE: 229(27.86%)
job_564: TOTAL: 16, ACCEPT: 6(37.50%), REJECT: 10(62.50%), RESERVE: 0(0.00%)
job_565: TOTAL: 168, ACCEPT: 85(50.60%), REJECT: 53(31.55%), RESERVE: 30(17.86%)
job_566: TOTAL: 831, ACCEPT: 375(45.13%), REJECT: 231(27.80%), RESERVE: 225(27.08%)
job_567: TOTAL: 820, ACCEPT: 429(52.32%), REJECT: 202(24.63%), RESERVE: 189(23.05%)
job_568: TOTAL: 1232, ACCEPT: 452(36.69%), REJECT: 416(33.77%), RESERVE: 364(29.55%)
job_569: TOTAL: 1612, ACCEPT: 177(10.98%), REJECT: 1193(74.01%), RESERVE: 242(15.01%)
job_570: TOTAL: 265, ACCEPT: 87(32.83%), REJECT: 106(40.00%), RESERVE: 72(27.17%)
job_571: TOTAL: 1080, ACCEPT: 444(41.11%), REJECT: 304(28.15%), RESERVE: 332(30.74%)
job_572: TOTAL: 859, ACCEPT: 393(45.75%), REJECT: 213(24.80%), RESERVE: 253(29.45%)
job_573: TOTAL: 374, ACCEPT: 196(52.41%), REJECT: 68(18.18%), RESERVE: 110(29.41%)
job_574: TOTAL: 132, ACCEPT: 47(35.61%), REJECT: 85(64.39%), RESERVE: 0(0.00%)
job_575: TOTAL: 145, ACCEPT: 50(34.48%), REJECT: 52(35.86%), RESERVE: 43(29.66%)
job_576: TOTAL: 886, ACCEPT: 424(47.86%), REJECT: 236(26.64%), RESERVE: 226(25.51%)
job_577: TOTAL: 871, ACCEPT: 385(44.20%), REJECT: 246(28.24%), RESERVE: 240(27.55%)
job_578: TOTAL: 1042, ACCEPT: 467(44.82%), REJECT: 234(22.46%), RESERVE: 341(32.73%)
job_579: TOTAL: 982, ACCEPT: 345(35.13%), REJECT: 311(31.67%), RESERVE: 326(33.20%)
job_580: TOTAL: 288, ACCEPT: 111(38.54%), REJECT: 81(28.12%), RESERVE: 96(33.33%)
job_581: TOTAL: 44, ACCEPT: 21(47.73%), REJECT: 23(52.27%), RESERVE: 0(0.00%)
job_582: TOTAL: 281, ACCEPT: 50(17.79%), REJECT: 135(48.04%), RESERVE: 96(34.16%)
job_583: TOTAL: 299, ACCEPT: 94(31.44%), REJECT: 127(42.47%), RESERVE: 78(26.09%)
job_584: TOTAL: 780, ACCEPT: 314(40.26%), REJECT: 244(31.28%), RESERVE: 222(28.46%)
job_585: TOTAL: 980, ACCEPT: 390(39.80%), REJECT: 290(29.59%), RESERVE: 300(30.61%)
job_586: TOTAL: 1109, ACCEPT: 436(39.31%), REJECT: 343(30.93%), RESERVE: 330(29.76%)
job_587: TOTAL: 39, ACCEPT: 18(46.15%), REJECT: 1(2.56%), RESERVE: 20(51.28%)
job_588: TOTAL: 141, ACCEPT: 72(51.06%), REJECT: 35(24.82%), RESERVE: 34(24.11%)
job_589: TOTAL: 1057, ACCEPT: 352(33.30%), REJECT: 355(33.59%), RESERVE: 350(33.11%)
job_590: TOTAL: 351, ACCEPT: 188(53.56%), REJECT: 69(19.66%), RESERVE: 94(26.78%)
job_591: TOTAL: 133, ACCEPT: 106(79.70%), REJECT: 15(11.28%), RESERVE: 12(9.02%)
job_592: TOTAL: 2154, ACCEPT: 213(9.89%), REJECT: 1658(76.97%), RESERVE: 283(13.14%)
job_593: TOTAL: 557, ACCEPT: 328(58.89%), REJECT: 123(22.08%), RESERVE: 106(19.03%)
job_594: TOTAL: 1136, ACCEPT: 453(39.88%), REJECT: 333(29.31%), RESERVE: 350(30.81%)
job_595: TOTAL: 683, ACCEPT: 108(15.81%), REJECT: 401(58.71%), RESERVE: 174(25.48%)
job_596: TOTAL: 348, ACCEPT: 139(39.94%), REJECT: 90(25.86%), RESERVE: 119(34.20%)
job_597: TOTAL: 994, ACCEPT: 348(35.01%), REJECT: 345(34.71%), RESERVE: 301(30.28%)
job_598: TOTAL: 49, ACCEPT: 34(69.39%), REJECT: 6(12.24%), RESERVE: 9(18.37%)
job_599: TOTAL: 1098, ACCEPT: 421(38.34%), REJECT: 339(30.87%), RESERVE: 338(30.78%)
job_600: TOTAL: 848, ACCEPT: 346(40.80%), REJECT: 256(30.19%), RESERVE: 246(29.01%)
job_601: TOTAL: 581, ACCEPT: 244(42.00%), REJECT: 167(28.74%), RESERVE: 170(29.26%)
job_602: TOTAL: 757, ACCEPT: 333(43.99%), REJECT: 204(26.95%), RESERVE: 220(29.06%)
job_603: TOTAL: 51, ACCEPT: 22(43.14%), REJECT: 29(56.86%), RESERVE: 0(0.00%)
job_604: TOTAL: 86, ACCEPT: 33(38.37%), REJECT: 38(44.19%), RESERVE: 15(17.44%)
job_605: TOTAL: 858, ACCEPT: 358(41.72%), REJECT: 232(27.04%), RESERVE: 268(31.24%)
job_606: TOTAL: 776, ACCEPT: 297(38.27%), REJECT: 228(29.38%), RESERVE: 251(32.35%)
job_607: TOTAL: 651, ACCEPT: 238(36.56%), REJECT: 198(30.41%), RESERVE: 215(33.03%)
job_608: TOTAL: 464, ACCEPT: 239(51.51%), REJECT: 83(17.89%), RESERVE: 142(30.60%)
job_609: TOTAL: 1640, ACCEPT: 497(30.30%), REJECT: 633(38.60%), RESERVE: 510(31.10%)
job_610: TOTAL: 1114, ACCEPT: 486(43.63%), REJECT: 307(27.56%), RESERVE: 321(28.82%)
job_611: TOTAL: 598, ACCEPT: 248(41.47%), REJECT: 161(26.92%), RESERVE: 189(31.61%)
job_612: TOTAL: 1266, ACCEPT: 494(39.02%), REJECT: 354(27.96%), RESERVE: 418(33.02%)
job_613: TOTAL: 608, ACCEPT: 331(54.44%), REJECT: 128(21.05%), RESERVE: 149(24.51%)
job_614: TOTAL: 102, ACCEPT: 50(49.02%), REJECT: 45(44.12%), RESERVE: 7(6.86%)
job_615: TOTAL: 767, ACCEPT: 172(22.43%), REJECT: 468(61.02%), RESERVE: 127(16.56%)
job_616: TOTAL: 676, ACCEPT: 286(42.31%), REJECT: 195(28.85%), RESERVE: 195(28.85%)
job_617: TOTAL: 800, ACCEPT: 244(30.50%), REJECT: 279(34.88%), RESERVE: 277(34.62%)
job_618: TOTAL: 995, ACCEPT: 348(34.97%), REJECT: 330(33.17%), RESERVE: 317(31.86%)
job_619: TOTAL: 713, ACCEPT: 310(43.48%), REJECT: 171(23.98%), RESERVE: 232(32.54%)
job_620: TOTAL: 1115, ACCEPT: 393(35.25%), REJECT: 348(31.21%), RESERVE: 374(33.54%)
job_621: TOTAL: 843, ACCEPT: 311(36.89%), REJECT: 281(33.33%), RESERVE: 251(29.77%)
job_622: TOTAL: 375, ACCEPT: 106(28.27%), REJECT: 127(33.87%), RESERVE: 142(37.87%)
job_623: TOTAL: 758, ACCEPT: 351(46.31%), REJECT: 186(24.54%), RESERVE: 221(29.16%)
job_624: TOTAL: 488, ACCEPT: 205(42.01%), REJECT: 146(29.92%), RESERVE: 137(28.07%)
job_625: TOTAL: 930, ACCEPT: 345(37.10%), REJECT: 269(28.92%), RESERVE: 316(33.98%)
job_626: TOTAL: 705, ACCEPT: 347(49.22%), REJECT: 152(21.56%), RESERVE: 206(29.22%)
job_627: TOTAL: 775, ACCEPT: 253(32.65%), REJECT: 284(36.65%), RESERVE: 238(30.71%)
job_628: TOTAL: 630, ACCEPT: 255(40.48%), REJECT: 181(28.73%), RESERVE: 194(30.79%)
job_629: TOTAL: 732, ACCEPT: 264(36.07%), REJECT: 232(31.69%), RESERVE: 236(32.24%)
job_630: TOTAL: 1532, ACCEPT: 472(30.81%), REJECT: 547(35.70%), RESERVE: 513(33.49%)
job_631: TOTAL: 1029, ACCEPT: 369(35.86%), REJECT: 323(31.39%), RESERVE: 337(32.75%)
job_632: TOTAL: 450, ACCEPT: 189(42.00%), REJECT: 108(24.00%), RESERVE: 153(34.00%)
job_633: TOTAL: 868, ACCEPT: 291(33.53%), REJECT: 282(32.49%), RESERVE: 295(33.99%)
job_634: TOTAL: 664, ACCEPT: 267(40.21%), REJECT: 192(28.92%), RESERVE: 205(30.87%)
job_635: TOTAL: 714, ACCEPT: 297(41.60%), REJECT: 207(28.99%), RESERVE: 210(29.41%)
job_636: TOTAL: 478, ACCEPT: 228(47.70%), REJECT: 119(24.90%), RESERVE: 131(27.41%)
job_637: TOTAL: 584, ACCEPT: 245(41.95%), REJECT: 169(28.94%), RESERVE: 170(29.11%)
job_638: TOTAL: 395, ACCEPT: 187(47.34%), REJECT: 116(29.37%), RESERVE: 92(23.29%)
job_639: TOTAL: 468, ACCEPT: 202(43.16%), REJECT: 134(28.63%), RESERVE: 132(28.21%)
job_640: TOTAL: 709, ACCEPT: 244(34.41%), REJECT: 195(27.50%), RESERVE: 270(38.08%)
job_641: TOTAL: 747, ACCEPT: 293(39.22%), REJECT: 225(30.12%), RESERVE: 229(30.66%)
job_642: TOTAL: 589, ACCEPT: 250(42.44%), REJECT: 187(31.75%), RESERVE: 152(25.81%)
job_643: TOTAL: 308, ACCEPT: 89(28.90%), REJECT: 105(34.09%), RESERVE: 114(37.01%)
job_644: TOTAL: 1028, ACCEPT: 416(40.47%), REJECT: 299(29.09%), RESERVE: 313(30.45%)
job_645: TOTAL: 523, ACCEPT: 166(31.74%), REJECT: 192(36.71%), RESERVE: 165(31.55%)
job_646: TOTAL: 775, ACCEPT: 351(45.29%), REJECT: 180(23.23%), RESERVE: 244(31.48%)
job_647: TOTAL: 564, ACCEPT: 209(37.06%), REJECT: 157(27.84%), RESERVE: 198(35.11%)
job_648: TOTAL: 594, ACCEPT: 174(29.29%), REJECT: 216(36.36%), RESERVE: 204(34.34%)
job_649: TOTAL: 174, ACCEPT: 74(42.53%), REJECT: 40(22.99%), RESERVE: 60(34.48%)
job_650: TOTAL: 984, ACCEPT: 493(50.10%), REJECT: 213(21.65%), RESERVE: 278(28.25%)
job_651: TOTAL: 456, ACCEPT: 133(29.17%), REJECT: 186(40.79%), RESERVE: 137(30.04%)
job_652: TOTAL: 41, ACCEPT: 25(60.98%), REJECT: 16(39.02%), RESERVE: 0(0.00%)
job_653: TOTAL: 430, ACCEPT: 177(41.16%), REJECT: 110(25.58%), RESERVE: 143(33.26%)
job_654: TOTAL: 408, ACCEPT: 238(58.33%), REJECT: 44(10.78%), RESERVE: 126(30.88%)
job_655: TOTAL: 369, ACCEPT: 166(44.99%), REJECT: 106(28.73%), RESERVE: 97(26.29%)
job_656: TOTAL: 315, ACCEPT: 83(26.35%), REJECT: 134(42.54%), RESERVE: 98(31.11%)
job_657: TOTAL: 778, ACCEPT: 323(41.52%), REJECT: 226(29.05%), RESERVE: 229(29.43%)
job_658: TOTAL: 515, ACCEPT: 226(43.88%), REJECT: 132(25.63%), RESERVE: 157(30.49%)
job_659: TOTAL: 943, ACCEPT: 480(50.90%), REJECT: 228(24.18%), RESERVE: 235(24.92%)
job_660: TOTAL: 595, ACCEPT: 314(52.77%), REJECT: 137(23.03%), RESERVE: 144(24.20%)
job_661: TOTAL: 763, ACCEPT: 357(46.79%), REJECT: 155(20.31%), RESERVE: 251(32.90%)
job_662: TOTAL: 1155, ACCEPT: 419(36.28%), REJECT: 347(30.04%), RESERVE: 389(33.68%)
job_663: TOTAL: 182, ACCEPT: 105(57.69%), REJECT: 45(24.73%), RESERVE: 32(17.58%)
job_664: TOTAL: 481, ACCEPT: 180(37.42%), REJECT: 145(30.15%), RESERVE: 156(32.43%)
job_665: TOTAL: 125, ACCEPT: 96(76.80%), REJECT: 2(1.60%), RESERVE: 27(21.60%)
job_666: TOTAL: 369, ACCEPT: 170(46.07%), REJECT: 91(24.66%), RESERVE: 108(29.27%)
job_667: TOTAL: 529, ACCEPT: 281(53.12%), REJECT: 100(18.90%), RESERVE: 148(27.98%)
job_668: TOTAL: 6523, ACCEPT: 263(4.03%), REJECT: 6159(94.42%), RESERVE: 101(1.55%)
job_669: TOTAL: 821, ACCEPT: 293(35.69%), REJECT: 248(30.21%), RESERVE: 280(34.10%)
job_670: TOTAL: 400, ACCEPT: 162(40.50%), REJECT: 108(27.00%), RESERVE: 130(32.50%)
job_671: TOTAL: 652, ACCEPT: 288(44.17%), REJECT: 165(25.31%), RESERVE: 199(30.52%)
job_672: TOTAL: 232, ACCEPT: 92(39.66%), REJECT: 26(11.21%), RESERVE: 114(49.14%)
job_673: TOTAL: 1381, ACCEPT: 419(30.34%), REJECT: 507(36.71%), RESERVE: 455(32.95%)
job_674: TOTAL: 613, ACCEPT: 234(38.17%), REJECT: 171(27.90%), RESERVE: 208(33.93%)
job_675: TOTAL: 312, ACCEPT: 141(45.19%), REJECT: 71(22.76%), RESERVE: 100(32.05%)
job_676: TOTAL: 894, ACCEPT: 319(35.68%), REJECT: 302(33.78%), RESERVE: 273(30.54%)
job_677: TOTAL: 135, ACCEPT: 79(58.52%), REJECT: 56(41.48%), RESERVE: 0(0.00%)
job_678: TOTAL: 645, ACCEPT: 303(46.98%), REJECT: 153(23.72%), RESERVE: 189(29.30%)
job_679: TOTAL: 1072, ACCEPT: 357(33.30%), REJECT: 366(34.14%), RESERVE: 349(32.56%)
job_680: TOTAL: 574, ACCEPT: 178(31.01%), REJECT: 230(40.07%), RESERVE: 166(28.92%)
job_681: TOTAL: 675, ACCEPT: 336(49.78%), REJECT: 147(21.78%), RESERVE: 192(28.44%)
job_682: TOTAL: 422, ACCEPT: 168(39.81%), REJECT: 133(31.52%), RESERVE: 121(28.67%)
job_683: TOTAL: 369, ACCEPT: 187(50.68%), REJECT: 115(31.17%), RESERVE: 67(18.16%)
job_684: TOTAL: 662, ACCEPT: 377(56.95%), REJECT: 150(22.66%), RESERVE: 135(20.39%)
job_685: TOTAL: 1026, ACCEPT: 427(41.62%), REJECT: 315(30.70%), RESERVE: 284(27.68%)
job_686: TOTAL: 799, ACCEPT: 325(40.68%), REJECT: 217(27.16%), RESERVE: 257(32.17%)
job_687: TOTAL: 346, ACCEPT: 145(41.91%), REJECT: 125(36.13%), RESERVE: 76(21.97%)
job_688: TOTAL: 721, ACCEPT: 483(66.99%), REJECT: 76(10.54%), RESERVE: 162(22.47%)
job_689: TOTAL: 208, ACCEPT: 102(49.04%), REJECT: 58(27.88%), RESERVE: 48(23.08%)
job_690: TOTAL: 1859, ACCEPT: 449(24.15%), REJECT: 1021(54.92%), RESERVE: 389(20.93%)
job_691: TOTAL: 504, ACCEPT: 227(45.04%), REJECT: 134(26.59%), RESERVE: 143(28.37%)
job_692: TOTAL: 1121, ACCEPT: 439(39.16%), REJECT: 327(29.17%), RESERVE: 355(31.67%)
job_693: TOTAL: 362, ACCEPT: 127(35.08%), REJECT: 113(31.22%), RESERVE: 122(33.70%)
job_694: TOTAL: 956, ACCEPT: 496(51.88%), REJECT: 200(20.92%), RESERVE: 260(27.20%)
job_695: TOTAL: 356, ACCEPT: 191(53.65%), REJECT: 87(24.44%), RESERVE: 78(21.91%)
job_696: TOTAL: 847, ACCEPT: 346(40.85%), REJECT: 216(25.50%), RESERVE: 285(33.65%)
job_697: TOTAL: 128, ACCEPT: 41(32.03%), REJECT: 87(67.97%), RESERVE: 0(0.00%)
job_698: TOTAL: 80, ACCEPT: 14(17.50%), REJECT: 66(82.50%), RESERVE: 0(0.00%)
job_699: TOTAL: 237, ACCEPT: 188(79.32%), REJECT: 49(20.68%), RESERVE: 0(0.00%)
job_700: TOTAL: 147, ACCEPT: 98(66.67%), REJECT: 49(33.33%), RESERVE: 0(0.00%)
job_701: TOTAL: 492, ACCEPT: 163(33.13%), REJECT: 164(33.33%), RESERVE: 165(33.54%)
job_702: TOTAL: 962, ACCEPT: 351(36.49%), REJECT: 283(29.42%), RESERVE: 328(34.10%)
job_703: TOTAL: 886, ACCEPT: 362(40.86%), REJECT: 273(30.81%), RESERVE: 251(28.33%)
job_704: TOTAL: 153, ACCEPT: 116(75.82%), REJECT: 26(16.99%), RESERVE: 11(7.19%)
job_705: TOTAL: 802, ACCEPT: 201(25.06%), REJECT: 500(62.34%), RESERVE: 101(12.59%)
job_706: TOTAL: 428, ACCEPT: 123(28.74%), REJECT: 146(34.11%), RESERVE: 159(37.15%)
job_707: TOTAL: 427, ACCEPT: 335(78.45%), REJECT: 33(7.73%), RESERVE: 59(13.82%)
job_708: TOTAL: 568, ACCEPT: 276(48.59%), REJECT: 144(25.35%), RESERVE: 148(26.06%)
job_709: TOTAL: 982, ACCEPT: 385(39.21%), REJECT: 288(29.33%), RESERVE: 309(31.47%)
job_710: TOTAL: 344, ACCEPT: 158(45.93%), REJECT: 80(23.26%), RESERVE: 106(30.81%)
job_711: TOTAL: 1045, ACCEPT: 443(42.39%), REJECT: 294(28.13%), RESERVE: 308(29.47%)
job_712: TOTAL: 279, ACCEPT: 92(32.97%), REJECT: 100(35.84%), RESERVE: 87(31.18%)
job_713: TOTAL: 907, ACCEPT: 318(35.06%), REJECT: 285(31.42%), RESERVE: 304(33.52%)
job_714: TOTAL: 685, ACCEPT: 300(43.80%), REJECT: 188(27.45%), RESERVE: 197(28.76%)
job_715: TOTAL: 468, ACCEPT: 207(44.23%), REJECT: 159(33.97%), RESERVE: 102(21.79%)
job_716: TOTAL: 171, ACCEPT: 47(27.49%), REJECT: 88(51.46%), RESERVE: 36(21.05%)
job_717: TOTAL: 586, ACCEPT: 209(35.67%), REJECT: 190(32.42%), RESERVE: 187(31.91%)
job_718: TOTAL: 1184, ACCEPT: 494(41.72%), REJECT: 334(28.21%), RESERVE: 356(30.07%)
job_719: TOTAL: 218, ACCEPT: 104(47.71%), REJECT: 34(15.60%), RESERVE: 80(36.70%)
job_720: TOTAL: 123, ACCEPT: 62(50.41%), REJECT: 28(22.76%), RESERVE: 33(26.83%)
job_721: TOTAL: 817, ACCEPT: 355(43.45%), REJECT: 214(26.19%), RESERVE: 248(30.35%)
job_722: TOTAL: 647, ACCEPT: 210(32.46%), REJECT: 209(32.30%), RESERVE: 228(35.24%)
job_723: TOTAL: 423, ACCEPT: 155(36.64%), REJECT: 145(34.28%), RESERVE: 123(29.08%)
job_724: TOTAL: 241, ACCEPT: 34(14.11%), REJECT: 127(52.70%), RESERVE: 80(33.20%)
job_725: TOTAL: 387, ACCEPT: 102(26.36%), REJECT: 145(37.47%), RESERVE: 140(36.18%)
job_726: TOTAL: 712, ACCEPT: 359(50.42%), REJECT: 153(21.49%), RESERVE: 200(28.09%)
job_727: TOTAL: 512, ACCEPT: 275(53.71%), REJECT: 91(17.77%), RESERVE: 146(28.52%)
job_728: TOTAL: 234, ACCEPT: 28(11.97%), REJECT: 107(45.73%), RESERVE: 99(42.31%)
job_729: TOTAL: 622, ACCEPT: 232(37.30%), REJECT: 191(30.71%), RESERVE: 199(31.99%)
job_730: TOTAL: 725, ACCEPT: 247(34.07%), REJECT: 245(33.79%), RESERVE: 233(32.14%)
job_731: TOTAL: 280, ACCEPT: 114(40.71%), REJECT: 74(26.43%), RESERVE: 92(32.86%)
job_732: TOTAL: 180, ACCEPT: 107(59.44%), REJECT: 32(17.78%), RESERVE: 41(22.78%)
job_733: TOTAL: 834, ACCEPT: 354(42.45%), REJECT: 208(24.94%), RESERVE: 272(32.61%)
job_734: TOTAL: 558, ACCEPT: 275(49.28%), REJECT: 118(21.15%), RESERVE: 165(29.57%)
job_735: TOTAL: 450, ACCEPT: 154(34.22%), REJECT: 136(30.22%), RESERVE: 160(35.56%)
job_736: TOTAL: 602, ACCEPT: 421(69.93%), REJECT: 52(8.64%), RESERVE: 129(21.43%)
job_737: TOTAL: 570, ACCEPT: 242(42.46%), REJECT: 164(28.77%), RESERVE: 164(28.77%)
job_738: TOTAL: 1088, ACCEPT: 459(42.19%), REJECT: 284(26.10%), RESERVE: 345(31.71%)
job_739: TOTAL: 968, ACCEPT: 446(46.07%), REJECT: 221(22.83%), RESERVE: 301(31.10%)
job_740: TOTAL: 219, ACCEPT: 125(57.08%), REJECT: 43(19.63%), RESERVE: 51(23.29%)
job_741: TOTAL: 688, ACCEPT: 319(46.37%), REJECT: 170(24.71%), RESERVE: 199(28.92%)
job_742: TOTAL: 1216, ACCEPT: 293(24.10%), REJECT: 650(53.45%), RESERVE: 273(22.45%)
